dataset,target_name,target_score,retained_fraction,mean_width,std_width,mean_sigma_cal,std_sigma_cal,ci_lower_width,ci_upper_width,ci_lower_sigma_cal,ci_upper_sigma_cal,e_model,ambiguity
bank,s~0.35,0.3500342156370445,0.5,0.015581346295527845,0.020805638090087408,0.03627835637083201,0.0048691529020093065,0.003356708347414654,0.06588669679268148,0.027382663230917512,0.04596873576602058,0.09729214052817035,0.23303019626840477
bank,s~0.35,0.3500342156370445,0.25,0.025674491849274665,0.03006735467322134,0.04470507148342115,0.0061136306393560005,0.0049493909761537,0.1126208505113702,0.03567786171408884,0.05875399783057473,0.09729214052817035,0.23303019626840477
bank,s~0.35,0.3500342156370445,0.125,0.03624616181813316,0.03948610506021189,0.05059438330973418,0.007982594846802913,0.00708784293984395,0.1411760010517615,0.03712069215140453,0.06668404738934539,0.09729214052817035,0.23303019626840477
bank,s~0.50,0.5003896349369388,1.0,0.0036900369003689537,0.0,0.03138674418031804,0.002305605107785489,0.0036900369003689537,0.0036900369003689537,0.026875757229301557,0.034924642638785364,0.12300793783923107,0.2455882953663485
bank,s~0.50,0.5003896349369388,0.75,0.00787223946507961,0.004215388815559079,0.03497007843027107,0.003975306091797579,0.004227158948685852,0.016128342661691494,0.027001687956255422,0.04253230860265029,0.12300793783923107,0.2455882953663485
bank,s~0.50,0.5003896349369388,0.5,0.011824749802851633,0.007589320305040487,0.038812046218019876,0.005061022140866441,0.004505951184450184,0.03058259987139302,0.029902190171257514,0.05046813921160588,0.12300793783923107,0.2455882953663485
bank,s~0.50,0.5003896349369388,0.25,0.021537340324098365,0.027745556060137535,0.04671073438305458,0.007528472818966672,0.005246138996138944,0.08457625282957146,0.03480237244993869,0.06279474267630608,0.12300793783923107,0.2455882953663485
bank,s~0.50,0.5003896349369388,0.125,0.02976021833462789,0.029445385756112982,0.05583956926174188,0.00802078898671127,0.007240378456282698,0.10697249538261862,0.042882024840476644,0.07338754296036705,0.12300793783923107,0.2455882953663485
bank,s~0.65,0.6503353807890537,1.0,0.004132231404958775,0.0,0.027723887655846234,0.0016916124568103386,0.004132231404958775,0.004132231404958775,0.024223532014387015,0.031036953052119832,0.061100199373998854,0.22725138310224713
bank,s~0.65,0.6503353807890537,0.75,0.006023617322698309,0.002931050454507433,0.031578285546031835,0.0028706202544264985,0.0035211267605633756,0.013697706177554694,0.0268724366850187,0.03708629245434131,0.061100199373998854,0.22725138310224713
bank,s~0.65,0.6503353807890537,0.5,0.010093722070094855,0.008849162758283347,0.03724182552577422,0.004733135335434172,0.004496037076783718,0.032222382498576306,0.029698096189662144,0.04711918524093638,0.061100199373998854,0.22725138310224713
bank,s~0.65,0.6503353807890537,0.25,0.017972690343872503,0.012630314472352858,0.04799639807889489,0.006035380902957934,0.006778589814304126,0.0501650943396226,0.03871602240243954,0.06102167675868567,0.061100199373998854,0.22725138310224713
bank,s~0.65,0.6503353807890537,0.125,0.034016846786695115,0.024620954180792118,0.05901405141949543,0.007768095720436341,0.011047008547008566,0.09978354978354972,0.04619094419203844,0.07740038797535717,0.061100199373998854,0.22725138310224713
bank,s~0.80,0.8002794611468911,1.0,0.008403361344537896,0.0,0.03538685868475314,0.0026513672085816727,0.008403361344537896,0.008403361344537896,0.030599265268621636,0.04121605803776373,0.04220228660748327,0.1776887225478427
bank,s~0.80,0.8002794611468911,0.75,0.014013938150855382,0.006665513032462583,0.038765073597074165,0.004275630856791328,0.00609592861126598,0.03177923387096772,0.03160102780822886,0.047728841198454004,0.04220228660748327,0.1776887225478427
bank,s~0.80,0.8002794611468911,0.5,0.018661178970160366,0.011380891631464501,0.04421147835318827,0.005093678310604554,0.008333333333333304,0.05025062656641605,0.035080770803291306,0.05625374242831302,0.04220228660748327,0.1776887225478427
bank,s~0.80,0.8002794611468911,0.25,0.034835808472598796,0.019498495837342356,0.055065468541527614,0.008200225869880406,0.012437984496123971,0.09214572192513347,0.040528186540308105,0.0725566407218705,0.04220228660748327,0.1776887225478427
bank,s~0.80,0.8002794611468911,0.125,0.05840647884779953,0.043071393206545495,0.06476098705133417,0.01038879061748724,0.01502828054298643,0.17983007414041893,0.04807700564590729,0.08208009743145929,0.04220228660748327,0.1776887225478427
spambase,s~0.20,0.20110100179424767,1.0,0.04896421845574389,0.0,0.05529187994032565,0.003427265786651905,0.04896421845574389,0.04896421845574389,0.048294720473636824,0.06171357783625693,0.14268764569940098,0.18584130429385623
spambase,s~0.20,0.20110100179424767,0.75,0.04020167644608117,0.016924208357133274,0.057516204778794384,0.007706566850835187,0.019086259485195642,0.07692307692307693,0.043336510275371797,0.07054806237672817,0.14268764569940098,0.18584130429385623
